Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Algeria,NORTHERN AFRICA,32930091,2381740,"13,8","0,04","-0,39",31,6000,700,"78,1","3,22","0,25",9653,1,1714,461,"0,101","0,6","0,298"
Angola,SUB-SAHARAN AFRICA,12127071,1246700,"9,7","0,13",0,19119,1900,420,"7,8","2,41","0,24",9735,NA,4511,242,"0,096","0,658","0,246"
Benin,SUB-SAHARAN AFRICA,7862944,112620,"69,8","0,11",0,85,1100,409,"9,7","18,08","2,4",7952,2,3885,1222,"0,316","0,138","0,546"
Botswana,SUB-SAHARAN AFRICA,1639833,600370,"2,7","0,00",0,5458,9000,798,"80,5","0,65","0,01",9934,1,2308,295,"0,024","0,469","0,507"
Burkina Faso,SUB-SAHARAN AFRICA,13902972,274200,"50,7","0,00",0,9757,1100,266,"7,0","14,43","0,19",8538,2,4562,156,"0,322","0,196","0,482"
Burundi,SUB-SAHARAN AFRICA,8090068,27830,"290,7","0,00","-0,06",6929,600,516,"3,4","35,05","14,02",5093,2,4222,1346,"0,463","0,203","0,334"
Cameroon,SUB-SAHARAN AFRICA,17340702,475440,"36,5","0,08",0,6826,1800,790,"5,7","12,81","2,58",8461,15,3389,1347,"0,448","0,17","0,382"
Cabo Verde,SUB-SAHARAN AFRICA,420979,4033,"104,4","23,93","-12,07",4777,1400,766,"169,6","9,68","0,5",8982,3,2487,655,"0,121","0,219","0,66"
Central African Republic,SUB-SAHARAN AFRICA,4303356,622984,"6,9","0,00",0,91,1100,510,"2,3","3,1","0,14",9676,2,3391,1865,"0,55","0,2","0,25"
Chad,SUB-SAHARAN AFRICA,9944201,1284000,"7,7","0,00","-0,11",9382,1200,475,"1,3","2,86","0,02",9712,2,4573,1638,"0,335","0,259","0,406"
Comoros,SUB-SAHARAN AFRICA,690948,2170,"318,4","15,67",0,7493,700,565,"24,5","35,87","23,32",4081,2,3693,82,"0,4","0,04","0,56"
Congo (Kinshasa),SUB-SAHARAN AFRICA,62660551,2345410,"26,7","0,00",0,9469,700,655,"0,2","2,96","0,52",9652,2,4369,1327,"0,55","0,11","0,34"
Congo (Brazzaville),SUB-SAHARAN AFRICA,3702314,342000,"10,8","0,05","-0,17",9386,700,838,"3,7","0,51","0,13",9936,2,4257,1293,"0,062","0,57","0,369"
Cote d'Ivoire,SUB-SAHARAN AFRICA,17654843,322460,"54,8","0,16","-0,07",9083,1400,509,"14,6","9,75","13,84",7641,2,3511,1484,"0,279","0,171","0,55"
Djibouti,SUB-SAHARAN AFRICA,486530,23000,"21,2","1,37",0,10413,1300,679,"22,8","0,04",0,9996,1,3953,1931,"0,179","0,225","0,596"
